Horodateur	Write 5 long sentences about anything/ Ecris 5 phrases longues a propos de n'importe quoi (French or English)	What language did you use? / Quelle avez-vous utilisez?	Length
26/09/2021 11:15:30	Je mange beaucoup de pizza durant la semaine  J’ai 22 ans et je sus à l’université et j’étudie la gestion   Je suis noir et j’adore les filles plus âgées que moi car elle ont plus d’expérience  J’adore écouter de la musique surtout ceux qui sont en espagnol  Je vis en Haïti avec ma famille et c’est la plus belle chose qui soit arrivé	French / Francais	335
26/09/2021 11:15:42	Steve Jobs a man who thought differently was the title of the book. The author of the book was Karen Blumenthal. “​​Innovation distinguishes between a leader and a follower.” This is one of the quotes I chose because I feel like it has so much meaning about who Steve Jobs was. Because he always pushed for more new ideas. He believed that he and his partner Wozniak could do this. Because Apple just used to be an idea but now it’s a reality.	English	443
26/09/2021 11:19:14	So the dog walked the cat.But the dog can’t walk the cat said the cat. How is it possible for animal to walk another animal. The human narrated. That is the confusing story of dog walks mr.cat. The story was showing how it is weird for animals to ever be able to move as us humans and do what we do to animals	English	309
26/09/2021 11:41:31	Est-ce mal de cacher ma détresse, de faire semblant? Rien de tout ça est réel, tout est faux, tout est altéré. Recherchez-vous la vérité parmi tant de faux gens? En vie? Trop mort pour l’être! Sommes-nous vivant? Afin d’éviter des questions, on attend juste notre fin.	French / Francais	268
26/09/2021 12:41:06	I like to eat apples and bananas on a daily basis. My mother’s name means strength and courage. My favorite ice cream flavor is chocolate, vanilla and sea salt caramel. Every year I travel to London to see my family and friends. I have never been to Italy and I wish that I’ll be able to go once the pandemic is over.	English	317
26/09/2021 12:52:19	Sam has 2 dogs and 3 cats who are many different colors. They all went to the park to play some fun games. Although it was getting really windy, they continued to play. Allof a sudden.. it started rainy reallly hard. One of cats ran away and never came back.  	English	260
26/09/2021 14:01:41	I just don’t understand why people like pancakes so much. The are very flimsy, soggy, they just don’t taste like they look like. I personally dislike pancakes even though all my friends and family do, but it’s not like I don’t like when they make it, I just don’t like the consistency and texture that it has. Pancakes are probably made of dough, and probably aren’t even seasoned like they should be, even though they look somewhat “crispy.” Long story short, pancakes suck and they should be banned from everyone’s mouths in caution of the possibility of them turning into a fish from being obsessed with a big, and flat dough ball that is called by humans, “pancakes.”	English	671
26/09/2021 14:02:57	La vie est un beau cadeau .Je suis reconnaissante pour les gens qui m’entoure. Dieu nous aime tous. Mon endroit préféré me manque. La plage est mon endroit préféré . Pourquoi 250 caractères ???????????????????????????????????))?????(5-66/82$2!2!2&@$2$2!’els	French / Francais	257
26/09/2021 14:32:17	Today I went to church and I really liked the sermon, it made me think about a lot of things. But then I came home and felt super hungry and made myself a burrito. I’m currently enjoying it, it tastes amazing because of course, I made it :). Honestly, I think adding the perfect dressing in a burrito is the key for it to taste like heaven. But anyways, I hope you have an amazing rest of your day, and remember that you’re a great person and that you’re loved :). 	English	465
26/09/2021 20:26:30	Understanding my only option was to get one of my friend's attentions, I stopped thinking about my ego and turned on my survival mode. I shouted as boisterous as could really be expected. Nevertheless, the law of physics said otherwise. The only thing that came out was the precious air that I needed so much. 	English	
	I am going to go to the movies next weekend. There are seven caterpillars on the ceiling of my old apartment complex. The Kite Runner is an enjoyable novel. This is the fourth sentence. Finally, this is the fifth	English	212
	I do not know what to write for this long sentence, but maybe an idea will come to me soon. My favorite sport to play is tennis, and I have been playing and following the sport for the past nine years. My favorite subject in school is math because it is a combination of problem solving, analysis, and pattern recognition.  For my statistics project, I thought solving a Rubik's cube would be fun, but it is taking me much longer than I anticipated. Today, I have a lot of homework, but I think I can finish all of my work quickly if I work diligently and efficiently. 	English	569
	I enjoy playing basketball with my friends when I don't have school. I also like to travel with my family where I have gone to places like Greece and Hawaii. I have lived in Easton my whole life where my family use to live in Hingham. I am interested in pursuing business and economics in College and want to take Statistics this year to help me in College. Also I used to play soccer and baseball when I was young, but now I just play basketball. 	English	448
	The unanimous Declaration of the thirteen united States of America, When in the Course of human events, it becomes necessary for one people to dissolve the political bands which have connected them with another, and to assume among the powers of the earth, the separate and equal station to which the Laws of Nature and of Nature's God entitle them, a decent respect to the opinions of mankind requires that they should declare the causes which impel them to the separation. We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.--That to secure these rights, Governments are instituted among Men, deriving their just powers from the consent of the governed, --That whenever any Form of Government becomes destructive of these ends, it is the Right of the People to alter or to abolish it, and to institute new Government, laying its foundation on such principles and organizing its powers in such form, as to them shall seem most likely to effect their Safety and Happiness. Prudence, indeed, will dictate that Governments long established should not be changed for light and transient causes; and accordingly all experience hath shewn, that mankind are more disposed to suffer, while evils are sufferable, than to right themselves by abolishing the forms to which they are accustomed. But when a long train of abuses and usurpations, pursuing invariably the same Object evinces a design to reduce them under absolute Despotism, it is their right, it is their duty, to throw off such Government, and to provide new Guards for their future security.	English	1704
	This morning I woke up at 8 and played in a basketball game. My team played hard but we lost the game. I like playing basketball because it is a passion I have had for years. I also like it because I get to play competitively with my friends. I am excited for the upcoming season.	English	280
	I am walking down the street, looking around, and seeing the stars. They are really big and bright, they light up the night and make me feel like I’m not alone in this world. I go to the local store and buy some milk for me to drink later. I want to play video games, but i miss placed everything so I can’t use it like that bicycle I broke awhile back. I am watching golf on the television and wondering what it is like there, what it smells like, how bright it is, and the sounds around them.	English	494
	I am in philosophy class right now. We are learning about Socrates and Plato and their ideals. I really like this class and our discussions. I am also very excited for lunch. I wonder what they are going to have for lunch today. 	English	229
	He hadn't been lying when he'd told her that it hadn't started out that way. In the first week, he'd tried to approximate something by Schumann; for a few days after that, he'd been inspired more by Grieg. After that, it was Saint-Saens he heard in his head. But in the end nothing fel right; nothing he did captured the same feeling he'd had when he'd recorded those first simple notes on a scrap of paper. In the past, he worked to create music that he fantasized would live for generations.	English	493
	Finally we reached the bar floor. The rugs, which looked as if they belonged in an avant-garde production of Lawrence of Arabia, swirled before me. The harder I stared, the more the abstract patterns merged. I tried to ignore it. The hundred-plus-seat bar, which looked down over Times Square, was almost completely empty, with only a few groups of businessmen dotting the chairs around the entranceway.	English	403
	The mind is like a circuit of Christmas treelights. When the brain works well, all the lights twinkle brilliantly, and it's adaptable enough that, often, even if one bulb goes out, the rest will still shine. But depending on where the damage is, sometimes that one blown bulb can make the whole strand go dark. Dr. Khan nodded patiently. I had picked one of the most controversial diagnoses in the field of psychiatry.	English	418
	My father sighed with relief. He felt comforted by a name, any name, to explain what had happened to me, even if he didn't quite understand what it all meant. Everything she said was matching up perfectly to my case, including abnormal facial tics, lip smacking, and tongue jabbing, along with synchronized and rigid body movements. The doctors seemed to have caught it just in time. My dad looked at her quizzically.	English	417
	With locations in Corte Madera and the San Francisco Ferry Building, Book Passage has been committed to serving the Bay Area community and readers of all ages since 1976. During that time Book Passage has hosted many thousands of author events. Those author presentations, plus dozens of classes and writing conferences held annually, have helped launch many literary careers. During the pandemic, Book Passage continues to present a diverse line-up of speakers, streaming internationally through the online “Conversations with Authors” series. These popular presentations will continue even when in-person events become safe once again.	English	637
	Book Passage supports and uplifts many nonprofits and educational institutions by raising both awareness and financial support. In 2007, Book Passage and 10,000 Degrees welcomed then-Senator Barack Obama to a sold-out event. In addition to his speech about education that he gave to the supporters of 10,000 Degrees, Obama signed books and spoke one-on-one to the 10,000 Degrees students. Book Passage extends its community support through its used-book sales program in both its Corte Madera and Ferry Building stores. The sale of used books at both stores now benefits 10,000 Degrees.	English	586
	Book Passage Corte Madera welcomes your used book donations. We accept contemporary books including fiction, mystery, biography, history, non-fiction, cookbooks, and kids books. They must be clean and in saleable condition. Hardcovers and paperbacks are welcome. We are unable to accept old, moldy, or dirty books, or textbooks of any sort.	English	340
